360 180
2.3750E+02 8.9500E+01 -2.62377E+03
2.3850E+02 8.9500E+01 -2.62245E+03
2.3950E+02 8.9500E+01 -2.60643E+03
2.4050E+02 8.9500E+01 -2.59031E+03
2.4150E+02 8.9500E+01 -2.58406E+03
2.4250E+02 8.9500E+01 -2.62231E+03
2.4350E+02 8.9500E+01 -2.59340E+03
2.4450E+02 8.9500E+01 -2.57165E+03
2.4550E+02 8.9500E+01 -2.57747E+03
2.4650E+02 8.9500E+01 -2.62535E+03
2.4750E+02 8.9500E+01 -2.64484E+03
2.4850E+02 8.9500E+01 -2.66359E+03
2.4950E+02 8.9500E+01 -2.62369E+03
2.5050E+02 8.9500E+01 -2.57452E+03
2.5150E+02 8.9500E+01 -2.52759E+03
2.5250E+02 8.9500E+01 -2.53995E+03
2.5350E+02 8.9500E+01 -2.64284E+03
2.5450E+02 8.9500E+01 -2.66559E+03
2.5550E+02 8.9500E+01 -2.63867E+03
2.5650E+02 8.9500E+01 -2.56970E+03
2.5750E+02 8.9500E+01 -2.51552E+03
2.5850E+02 8.9500E+01 -2.42615E+03
2.5950E+02 8.9500E+01 -2.41710E+03
2.6050E+02 8.9500E+01 -2.41189E+03
2.6150E+02 8.9500E+01 -2.53818E+03
2.6250E+02 8.9500E+01 -2.61850E+03
2.6350E+02 8.9500E+01 -2.96906E+03
2.6450E+02 8.9500E+01 -3.06805E+03
2.6550E+02 8.9500E+01 -2.84516E+03
2.6650E+02 8.9500E+01 -2.86874E+03
2.6750E+02 8.9500E+01 -3.02043E+03
2.6850E+02 8.9500E+01 -3.30898E+03
2.6950E+02 8.9500E+01 -3.44525E+03
2.7050E+02 8.9500E+01 -3.68944E+03
2.7150E+02 8.9500E+01 -3.79723E+03
2.7250E+02 8.9500E+01 -3.94002E+03
2.7350E+02 8.9500E+01 -3.99007E+03
2.7450E+02 8.9500E+01 -4.02696E+03
2.7550E+02 8.9500E+01 -4.07694E+03
2.7650E+02 8.9500E+01 -4.08790E+03
2.7750E+02 8.9500E+01 -4.09994E+03
2.7850E+02 8.9500E+01 -4.09246E+03
2.7950E+02 8.9500E+01 -4.06887E+03
2.8050E+02 8.9500E+01 -4.03758E+03
2.8150E+02 8.9500E+01 -4.00728E+03
2.8250E+02 8.9500E+01 -3.89680E+03
2.8350E+02 8.9500E+01 -3.83576E+03
