360 180
274.50000 89.50000 -4.02349e+03
275.50000 89.50000 -4.07347e+03
276.50000 89.50000 -4.08443e+03
277.50000 89.50000 -4.09647e+03
278.50000 89.50000 -4.08899e+03
279.50000 89.50000 -4.06540e+03
280.50000 89.50000 -4.03411e+03
281.50000 89.50000 -4.00381e+03
282.50000 89.50000 -3.89333e+03
283.50000 89.50000 -3.83229e+03
284.50000 89.50000 -3.75921e+03
285.50000 89.50000 -3.73863e+03
286.50000 89.50000 -3.74544e+03
287.50000 89.50000 -3.79501e+03
288.50000 89.50000 -3.86996e+03
289.50000 89.50000 -4.04328e+03
290.50000 89.50000 -4.10054e+03
291.50000 89.50000 -4.16628e+03
292.50000 89.50000 -4.17855e+03
293.50000 89.50000 -4.18574e+03
294.50000 89.50000 -4.12285e+03
295.50000 89.50000 -4.08799e+03
296.50000 89.50000 -4.04381e+03
297.50000 89.50000 -4.04394e+03
298.50000 89.50000 -4.06877e+03
299.50000 89.50000 -4.09293e+03
300.50000 89.50000 -4.10387e+03
301.50000 89.50000 -4.10521e+03
302.50000 89.50000 -4.10933e+03
303.50000 89.50000 -4.11605e+03
304.50000 89.50000 -4.11066e+03
305.50000 89.50000 -4.10323e+03
306.50000 89.50000 -4.09264e+03
307.50000 89.50000 -4.08955e+03
308.50000 89.50000 -4.08696e+03
309.50000 89.50000 -4.08725e+03
310.50000 89.50000 -4.08738e+03
311.50000 89.50000 -4.08718e+03
312.50000 89.50000 -4.08861e+03
313.50000 89.50000 -4.09417e+03
314.50000 89.50000 -4.09854e+03
315.50000 89.50000 -4.10703e+03
316.50000 89.50000 -4.11111e+03
317.50000 89.50000 -4.11304e+03
318.50000 89.50000 -4.11336e+03
319.50000 89.50000 -4.11508e+03
320.50000 89.50000 -4.12392e+03
321.50000 89.50000 -4.13387e+03
322.50000 89.50000 -4.14921e+03
323.50000 89.50000 -4.14890e+03
324.50000 89.50000 -4.14479e+03
325.50000 89.50000 -4.14318e+03
326.50000 89.50000 -4.14387e+03
327.50000 89.50000 -4.14797e+03
328.50000 89.50000 -4.15149e+03
329.50000 89.50000 -4.15535e+03
330.50000 89.50000 -4.15745e+03
331.50000 89.50000 -4.15899e+03
332.50000 89.50000 -4.15958e+03
333.50000 89.50000 -4.15736e+03
334.50000 89.50000 -4.15563e+03
335.50000 89.50000 -4.15400e+03
336.50000 89.50000 -4.15382e+03
337.50000 89.50000 -4.15342e+03
338.50000 89.50000 -4.15377e+03
339.50000 89.50000 -4.14636e+03
340.50000 89.50000 -4.14060e+03
341.50000 89.50000 -4.13775e+03
342.50000 89.50000 -4.13797e+03
343.50000 89.50000 -4.13926e+03
344.50000 89.50000 -4.14026e+03
345.50000 89.50000 -4.14134e+03
346.50000 89.50000 -4.14341e+03
347.50000 89.50000 -4.14452e+03
348.50000 89.50000 -4.14598e+03
349.50000 89.50000 -4.14587e+03
350.50000 89.50000 -4.14778e+03
351.50000 89.50000 -4.15012e+03
352.50000 89.50000 -4.15110e+03
353.50000 89.50000 -4.15420e+03
354.50000 89.50000 -4.15507e+03
355.50000 89.50000 -4.15917e+03
356.50000 89.50000 -4.16221e+03
357.50000 89.50000 -4.16407e+03
358.50000 89.50000 -4.17073e+03
359.50000 89.50000 -4.17341e+03
0.50000 88.50000 -4.28567e+03
1.50000 88.50000 -4.29037e+03
2.50000 88.50000 -4.30381e+03
3.50000 88.50000 -4.31151e+03
4.50000 88.50000 -4.31669e+03
5.50000 88.50000 -4.30616e+03
6.50000 88.50000 -4.30135e+03
7.50000 88.50000 -4.29567e+03
8.50000 88.50000 -4.29517e+03
9.50000 88.50000 -4.29413e+03
10.50000 88.50000 -4.29413e+03
11.50000 88.50000 -4.29464e+03
12.50000 88.50000 -4.29561e+03
13.50000 88.50000 -4.29561e+03
14.50000 88.50000 -4.29448e+03
15.50000 88.50000 -4.29401e+03
16.50000 88.50000 -4.29401e+03
17.50000 88.50000 -4.29461e+03
18.50000 88.50000 -4.29413e+03
19.50000 88.50000 -4.29413e+03
20.50000 88.50000 -4.29461e+03
21.50000 88.50000 -4.29388e+03
22.50000 88.50000 -4.29500e+03
23.50000 88.50000 -4.29548e+03
24.50000 88.50000 -4.29720e+03
25.50000 88.50000 -4.29700e+03
26.50000 88.50000 -4.29796e+03
27.50000 88.50000 -4.29898e+03
28.50000 88.50000 -4.30001e+03
29.50000 88.50000 -4.29998e+03
30.50000 88.50000 -4.30048e+03
31.50000 88.50000 -4.29994e+03
32.50000 88.50000 -4.30000e+03
33.50000 88.50000 -4.30000e+03
34.50000 88.50000 -4.30000e+03
35.50000 88.50000 -4.30000e+03
36.50000 88.50000 -4.30100e+03
37.50000 88.50000 -4.30096e+03
38.50000 88.50000 -4.30161e+03
39.50000 88.50000 -4.30161e+03
40.50000 88.50000 -4.30209e+03
41.50000 88.50000 -4.30267e+03
42.50000 88.50000 -4.30267e+03
43.50000 88.50000 -4.30161e+03
44.50000 88.50000 -4.30113e+03
45.50000 88.50000 -4.29502e+03
46.50000 88.50000 -4.29065e+03
47.50000 88.50000 -4.29937e+03
48.50000 88.50000 -4.33386e+03
49.50000 88.50000 -4.40388e+03
50.50000 88.50000 -4.33671e+03
51.50000 88.50000 -4.31960e+03
52.50000 88.50000 -4.31625e+03
53.50000 88.50000 -4.31629e+03
54.50000 88.50000 -4.31493e+03
55.50000 88.50000 -4.31325e+03
56.50000 88.50000 -4.31210e+03
57.50000 88.50000 -4.30696e+03
58.50000 88.50000 -4.30560e+03
59.50000 88.50000 -4.30048e+03
60.50000 88.50000 -4.29948e+03
61.50000 88.50000 -4.29900e+03
62.50000 88.50000 -4.30609e+03
63.50000 88.50000 -4.31529e+03
64.50000 88.50000 -4.33999e+03
65.50000 88.50000 -4.35326e+03
66.50000 88.50000 -4.37118e+03
67.50000 88.50000 -4.36947e+03
68.50000 88.50000 -4.36841e+03
69.50000 88.50000 -4.37073e+03
70.50000 88.50000 -4.37304e+03
71.50000 88.50000 -4.37073e+03
72.50000 88.50000 -4.37031e+03
73.50000 88.50000 -4.36982e+03
74.50000 88.50000 -4.37024e+03
75.50000 88.50000 -4.37251e+03
76.50000 88.50000 -4.37044e+03
77.50000 88.50000 -4.35673e+03
78.50000 88.50000 -4.32012e+03
79.50000 88.50000 -4.30560e+03
80.50000 88.50000 -4.29608e+03
81.50000 88.50000 -4.29032e+03
82.50000 88.50000 -4.28992e+03
83.50000 88.50000 -4.29039e+03
84.50000 88.50000 -4.29097e+03
85.50000 88.50000 -4.29201e+03
86.50000 88.50000 -4.29290e+03
87.50000 88.50000 -4.29348e+03
88.50000 88.50000 -4.29400e+03
89.50000 88.50000 -4.29512e+03
90.50000 88.50000 -4.29297e+03
91.50000 88.50000 -4.29048e+03
92.50000 88.50000 -4.28697e+03
93.50000 88.50000 -4.28386e+03
94.50000 88.50000 -4.28203e+03
95.50000 88.50000 -4.27697e+03
96.50000 88.50000 -4.27497e+03
97.50000 88.50000 -4.26969e+03
98.50000 88.50000 -4.26696e+03
99.50000 88.50000 -4.26138e+03
100.50000 88.50000 -4.25679e+03
101.50000 88.50000 -4.25264e+03
102.50000 88.50000 -4.24496e+03
103.50000 88.50000 -4.24056e+03
104.50000 88.50000 -4.24019e+03
105.50000 88.50000 -4.24479e+03
106.50000 88.50000 -4.25067e+03
107.50000 88.50000 -4.25879e+03
108.50000 88.50000 -4.26037e+03
109.50000 88.50000 -4.25994e+03
